Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Partiliste;838
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Maria Gudme;59
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Trine Bramsen;179
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Bjørn Brandenborg;64
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Jeppe Bruus;81
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Sara Emil Baaring;33
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Thomas Skriver Jensen;110
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Lasse Haugaard Pedersen;16
1. Odense Øst;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Kim Aas;26
1. Odense Øst;1. Skt. Jørgens Hallen;B;Radikale Venstre;Partiliste;397
1. Odense Øst;1. Skt. Jørgens Hallen;B;Radikale Venstre;Anastasia Milthers;158
1. Odense Øst;1. Skt. Jørgens Hallen;B;Radikale Venstre;Jan Werner Mathiasen;41
1. Odense Øst;1. Skt. Jørgens Hallen;B;Radikale Venstre;Jakob Larsen;38
1. Odense Øst;1. Skt. Jørgens Hallen;B;Radikale Venstre;Kim Lei-Jensen;25
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Partiliste;318
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Joachim Hoffmann-Petersen;63
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Mai Mercado;102
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Tobias Bennedsen;5
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Anne Fiber;14
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;John Hoppe;10
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Natasja Bruun Knudsen;14
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Klavs Norup Lauridsen;35
1. Odense Øst;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Johan Emil Sevelsted;6
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Partiliste;813
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Lise Müller;145
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Karsten Hønge;125
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Suzette Frovin;23
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Simon Meyer Off;27
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Nynne Printz;7
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Lars Nissen;7
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Laura Elise Andersen-Mühl;40
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Linda Bollerup;12
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Johannes Skov Pedersen;14
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Anna Katrine Leth Rehn;29
1. Odense Øst;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Charlotte Ellenberger;19
1. Odense Øst;1. Skt. Jørgens Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;73
1. Odense Øst;1. Skt. Jørgens Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Allan Holm;4
1. Odense Øst;1. Skt. Jørgens Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Daniel Juhl;2
1. Odense Øst;1. Skt. Jørgens Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Møller-Madsen;5
1. Odense Øst;1. Skt. Jørgens Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Anja Busch;3
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Partiliste;632
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Katrine Daugaard;58
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Malte Jäger;54
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Pia Offer Madsen;26
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Martin Lissner;5
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Tonny Vest;2
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Thomas Estrup;4
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Gustav Wilde;2
1. Odense Øst;1. Skt. Jørgens Hallen;I;Liberal Alliance;Araz Khan;40
1. Odense Øst;1. Skt. Jørgens Hallen;M;Moderaterne;Partiliste;371
1. Odense Øst;1. Skt. Jørgens Hallen;M;Moderaterne;Lars Aagaard;85
1. Odense Øst;1. Skt. Jørgens Hallen;M;Moderaterne;Rosa Eriksen;39
1. Odense Øst;1. Skt. Jørgens Hallen;M;Moderaterne;Andreas Lausen;7
1. Odense Øst;1. Skt. Jørgens Hallen;M;Moderaterne;Camilla Schuster Nygaard;6
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Partiliste;408
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Alex Ahrendtsen;64
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Tobias Weische;23
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Romeo Troelsgaard;12
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Anne Møllegaard Mortensen;16
1. Odense Øst;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Niels Bolding;5
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Partiliste;331
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Claus Oxfeldt;38
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Marlene Ambo-Rasmussen;111
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Amanda Heitmann;18
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Nikolaj Leed Henriksen;9
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Andreas Fjord Larsen;8
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Anja Lund;25
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Sofie Mosgaard;78
1. Odense Øst;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Torben Povlsen;15
1. Odense Øst;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;74
1. Odense Øst;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne - Inger Støjberg;Nikolaj Vang;8
1. Odense Øst;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne - Inger Støjberg;Vivian Lindberg Larsen;7
1. Odense Øst;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne - Inger Støjberg;Jens Henrik W. Thulesen Dahl;6
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Partiliste;560
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Victoria Velásquez;244
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Reza Javid;39
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Jesper Kiel;14
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Vibeke Syppli Enrum;4
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Torsten Ringgaard;10
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Kaj Alstrup;5
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Mette Skaarup;29
1. Odense Øst;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Stine Øllegaard;6
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Partiliste;206
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Linda Frølund;19
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Jacob Holm;7
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Stine Larsen;21
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Maria Dalum;13
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Bodil Helbo;1
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Matilde Skov-Hansen;17
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Ole Dupont Kofod;4
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Bo Tønnesen;0
1. Odense Øst;1. Skt. Jørgens Hallen;Å;Alternativet;Martin Kjærulff;1
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Partiliste;1061
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Maria Gudme;59
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Trine Bramsen;250
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Bjørn Brandenborg;82
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Jeppe Bruus;97
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Sara Emil Baaring;41
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Thomas Skriver Jensen;114
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Lasse Haugaard Pedersen;12
1. Odense Øst;2. Marienlystcentret;A;Socialdemokratiet;Kim Aas;11
1. Odense Øst;2. Marienlystcentret;B;Radikale Venstre;Partiliste;312
1. Odense Øst;2. Marienlystcentret;B;Radikale Venstre;Anastasia Milthers;94
1. Odense Øst;2. Marienlystcentret;B;Radikale Venstre;Jan Werner Mathiasen;37
1. Odense Øst;2. Marienlystcentret;B;Radikale Venstre;Jakob Larsen;41
1. Odense Øst;2. Marienlystcentret;B;Radikale Venstre;Kim Lei-Jensen;27
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Partiliste;222
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Joachim Hoffmann-Petersen;49
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Mai Mercado;101
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Tobias Bennedsen;6
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Anne Fiber;3
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;John Hoppe;10
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Natasja Bruun Knudsen;6
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Klavs Norup Lauridsen;19
1. Odense Øst;2. Marienlystcentret;C;Det Konservative Folkeparti;Johan Emil Sevelsted;2
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Partiliste;714
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Lise Müller;159
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Karsten Hønge;173
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Suzette Frovin;18
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Simon Meyer Off;17
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Nynne Printz;6
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Lars Nissen;6
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Laura Elise Andersen-Mühl;41
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Linda Bollerup;11
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Johannes Skov Pedersen;9
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Anna Katrine Leth Rehn;34
1. Odense Øst;2. Marienlystcentret;F;SF - Socialistisk Folkeparti;Charlotte Ellenberger;9
1. Odense Øst;2. Marienlystcentret;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;81
1. Odense Øst;2. Marienlystcentret;H;Borgernes Parti - Lars Boje Mathiesen;Allan Holm;4
1. Odense Øst;2. Marienlystcentret;H;Borgernes Parti - Lars Boje Mathiesen;Daniel Juhl;5
1. Odense Øst;2. Marienlystcentret;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Møller-Madsen;4
1. Odense Øst;2. Marienlystcentret;H;Borgernes Parti - Lars Boje Mathiesen;Anja Busch;2
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Partiliste;430
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Katrine Daugaard;48
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Malte Jäger;32
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Pia Offer Madsen;17
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Martin Lissner;3
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Tonny Vest;3
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Thomas Estrup;5
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Gustav Wilde;1
1. Odense Øst;2. Marienlystcentret;I;Liberal Alliance;Araz Khan;38
1. Odense Øst;2. Marienlystcentret;M;Moderaterne;Partiliste;340
1. Odense Øst;2. Marienlystcentret;M;Moderaterne;Lars Aagaard;113
1. Odense Øst;2. Marienlystcentret;M;Moderaterne;Rosa Eriksen;34
1. Odense Øst;2. Marienlystcentret;M;Moderaterne;Andreas Lausen;9
1. Odense Øst;2. Marienlystcentret;M;Moderaterne;Camilla Schuster Nygaard;8
1. Odense Øst;2. Marienlystcentret;O;Dansk Folkeparti;Partiliste;427
