Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Partiliste;691
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Mette Reissmann;93
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Yildiz Akdogan;14
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Sophie Hæstorp Andersen;30
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Ida Auken;215
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Stig Ekman;4
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Jarl Feyling;1
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Camilla Hoffmann;6
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Peter Hummelgaard;97
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Erik Jensen;3
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Emilla Møller;0
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Asbjørn Reissmann;3
1. Østerbro;1. 1. Østerbro;A;Socialdemokratiet;Marcus Vesterager;5
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Partiliste;510
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Helene Langager;53
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Samira Nawa;183
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Thomas Rohden;62
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Frederik Rosberg;7
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Magnus Georg Jensen;97
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Anne-Sofie Sadolin;17
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Maria Georgi Sloth;13
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Thomas Markmann;8
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Emil Moselund;9
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Marianne Mortensen;1
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Mikkel Senna Odoom;8
1. Østerbro;1. 1. Østerbro;B;Radikale Venstre;Julie Herdal;5
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Partiliste;446
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Helle Bonnesen;81
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Lasse Vogel Andersen;1
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Pernille Birch;11
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Rasmus Bjergegaard;9
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Nikolaj Bøgh;12
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Line Ervolder;28
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Helene Fagerhøj;25
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Carina Høedt;10
1. Østerbro;1. 1. Østerbro;C;Det Konservative Folkeparti;Anders Havelund Krøyer;7
