Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Partiliste;304
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Vibeke Westh;13
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Magnus Barsøe;22
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Sofie de Bretteville;12
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Morten Bødskov;15
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Maria Durhuus;5
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Mattias Tesfaye;76
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Jens Anton Tingstrøm;5
1. Gentofte;1. Jægersborg;A;Socialdemokratiet;Gunvor Wibroe;1
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Partiliste;264
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Ruben Kidde;21
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Stinus Lindgreen;55
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Christina Falkberg;12
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Isabel Havndrup Aackmann;10
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Lars Green Bach;0
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Trine Dybkjær;54
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Brian Køster;6
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Esat Senturk;0
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Kashif Ahmad;7
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Jens Frost;3
1. Gentofte;1. Jægersborg;B;Radikale Venstre;Zohair Ali;0
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Partiliste;678
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Christian Vigilius;321
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Julie Ahlefeldt-Laurvig;38
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Isabella Arendt;46
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Magnus Von Dreiager;24
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Tina Cartey Hansen;13
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Jette Larsen;2
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Sigurd Hebo Lønholdt;4
1. Gentofte;1. Jægersborg;C;Det Konservative Folkeparti;Dorte Vilhelmsen;7
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Partiliste;196
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Helene Brochmann;42
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Sigurd Agersnap;33
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Vivi Nør Jacobsen;4
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Sofie F. Villadsen;19
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Taner Genc;5
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Troels Stru Schmidt;5
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Alexander Bruhn Skjøth;0
1. Gentofte;1. Jægersborg;F;SF - Socialistisk Folkeparti;Niels Haxthausen;1
1. Gentofte;1. Jægersborg;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;35
1. Gentofte;1. Jægersborg;H;Borgernes Parti - Lars Boje Mathiesen;Morten Dehn;0
1. Gentofte;1. Jægersborg;H;Borgernes Parti - Lars Boje Mathiesen;Mathias Fuglsang;0
