Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Partiliste;344
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Peder Key Kristiansen;587
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Kiki Bille Bach;5
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Mette Frederiksen;441
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Ane Halsboe-Jørgensen;40
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Per Husted;6
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Thomas Klimek;15
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Simon Kollerup;11
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Flemming Møller Mortensen;9
1. Frederikshavn;1. Skagen;A;Socialdemokratiet;Morten Ryom;3
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Partiliste;47
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Marie Wandel;4
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Carsten Bedsted;5
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Steffen Holme Helledie;0
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Jacob Robsøe;2
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Pia Elberg;2
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Dorthe Kerschus;0
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Steen Asgeir Petersen;0
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Michael Portefee P. Lex;0
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Susanne Krebs;2
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Torsten Wetche;3
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Emma Biørn Tretow-Fish;0
1. Frederikshavn;1. Skagen;B;Radikale Venstre;Gorm Simonsen;0
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Partiliste;79
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Per Larsen;78
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Lene Burchardt;9
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;René Flou;1
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Laura Holm;4
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Søren Homann;5
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Dorthe Pedersen;0
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Sofie Therese Svendsen;6
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Stine Thier-Andersen;1
1. Frederikshavn;1. Skagen;C;Det Konservative Folkeparti;Gabriel Aaen;0
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Partiliste;115
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Christina Lykke;130
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen;4
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Melina Andersen;5
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Dorte M. Nielsen;2
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Benjamin Christensen;18
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Morten Bo Bertelsen;1
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Peder Larsen;1
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Henning Jørgensen;0
1. Frederikshavn;1. Skagen;F;SF - Socialistisk Folkeparti;Thomas Kjeldsen;0
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;87
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;John Bjerg;7
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;Niels Christensen;4
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;Arne Hyldgaard;3
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;Paulina Laparil;7
1. Frederikshavn;1. Skagen;H;Borgernes Parti - Lars Boje Mathiesen;Ib Poulsen;0
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Partiliste;255
1. Frederikshavn;1. Skagen;I;Liberal Alliance;HP Beck;5
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Sólbjørg Jakobsen;63
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Kenneth Skatka Hammer;6
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Anders Peter Hansen;3
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Kim Gaarsdahl;0
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Bo Ritterbusch;0
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Mark Hellerup;2
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Kresten Solvang Larsen;1
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Thomas Heuniche;0
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Jimmy Abel Nielsen;1
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Frederik Blicher Pedersen;0
1. Frederikshavn;1. Skagen;I;Liberal Alliance;Claus Beck;3
