Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Partiliste;828
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Henrik Møller;489
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Fie Hækkerup;62
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Louise Mehnke;46
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Matilde Powers;27
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Søren Rye;3
1. Helsingør;1. Helsingør Hallen;A;Socialdemokratiet;Rasmus Stoklund;54
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Partiliste;110
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Mikkel Westh Jepsen;40
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Martin Lidegaard;145
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Tine Hessner;8
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Christian Elkjær;8
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Christina Thorholm;12
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Hediye Temiz;11
1. Helsingør;1. Helsingør Hallen;B;Radikale Venstre;Freja Eva Lockenwitz;13
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Partiliste;288
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Birgitte Bergman;177
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Mette Abildgaard;96
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Daniel Drefeld;9
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Frederik Germann;9
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Emma Juul Hansen;17
1. Helsingør;1. Helsingør Hallen;C;Det Konservative Folkeparti;Egil Hulgaard;4
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Partiliste;477
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Jacob Mark;284
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Marianne Bigum;64
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Emil Nielsen;52
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Anja Rosengreen;19
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Anna Poulsen;14
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Stina Egedius Miller;10
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Elias Julius Binggeli;8
1. Helsingør;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Jens Skov;2
1. Helsingør;1. Helsingør Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;77
1. Helsingør;1. Helsingør Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Martin Nordstjerne;5
1. Helsingør;1. Helsingør Hallen;H;Borgernes Parti - Lars Boje Mathiesen;Peter Faber;1
