Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Lolland;1. Errindlev;A;Socialdemokratiet;Partiliste;37
1. Lolland;1. Errindlev;A;Socialdemokratiet;Kasper Roug;51
1. Lolland;1. Errindlev;A;Socialdemokratiet;Valdemar Alban;1
1. Lolland;1. Errindlev;A;Socialdemokratiet;Trine Birk Andersen;3
1. Lolland;1. Errindlev;A;Socialdemokratiet;Kaare Dybvad Bek;0
1. Lolland;1. Errindlev;A;Socialdemokratiet;Kanishka Dastageer;0
1. Lolland;1. Errindlev;A;Socialdemokratiet;Magnus Heunicke;8
1. Lolland;1. Errindlev;A;Socialdemokratiet;Julie Kølskov;9
1. Lolland;1. Errindlev;A;Socialdemokratiet;Rasmus Horn Langhoff;0
1. Lolland;1. Errindlev;A;Socialdemokratiet;Tanja Larsson;1
1. Lolland;1. Errindlev;A;Socialdemokratiet;Carl Emil Lind;0
1. Lolland;1. Errindlev;A;Socialdemokratiet;Filiz Sarah Thunø;0
1. Lolland;1. Errindlev;A;Socialdemokratiet;Frederik Vad;1
1. Lolland;1. Errindlev;B;Radikale Venstre;Partiliste;2
1. Lolland;1. Errindlev;B;Radikale Venstre;Kristian Stokholm;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Zenia Stampe;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Jeppe Fransson;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Edris Qasimi;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Sofie Holm;1
1. Lolland;1. Errindlev;B;Radikale Venstre;Line Krogh Lay;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Mette Hvid Brockmann;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Helena Tjørnelund Christensen;2
1. Lolland;1. Errindlev;B;Radikale Venstre;Jeppe Trolle;0
1. Lolland;1. Errindlev;B;Radikale Venstre;Troels Brandt;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Partiliste;8
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Henrik Jacobsen;5
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Jane Christensen;1
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Ida Dyhr;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Barbara Engelstoft;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Silas Ipsen;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Ditte Keidser;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Marcus Knuth;14
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Rune Kristensen;1
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Vilhelm Møller;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Victoria Helene Olsen;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Mads Ramstedt;0
1. Lolland;1. Errindlev;C;Det Konservative Folkeparti;Jacob Stryhn;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Partiliste;12
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Pia Olsen Dyhr;16
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Astrid Carøe;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Anne Valentina Berthelsen;3
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Mads Olsen;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Kristine Amalie Rostgård;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Claus Jørgensen;3
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Ali Yahya;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Michael Graakjær;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Jeanne Bergmansen;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Joan Kragh;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Jesper Hartøft;0
1. Lolland;1. Errindlev;F;SF - Socialistisk Folkeparti;Martin Graff Jørgensen;1
1. Lolland;1. Errindlev;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;5
1. Lolland;1. Errindlev;H;Borgernes Parti - Lars Boje Mathiesen;John Bo Hansen;0
1. Lolland;1. Errindlev;H;Borgernes Parti - Lars Boje Mathiesen;Jacob Harris;2
1. Lolland;1. Errindlev;H;Borgernes Parti - Lars Boje Mathiesen;Tim Larsen;0
1. Lolland;1. Errindlev;H;Borgernes Parti - Lars Boje Mathiesen;Sanne Pilgaard;0
1. Lolland;1. Errindlev;I;Liberal Alliance;Partiliste;13
1. Lolland;1. Errindlev;I;Liberal Alliance;Joachim Riis;0
1. Lolland;1. Errindlev;I;Liberal Alliance;Pernille Vermund;1
1. Lolland;1. Errindlev;I;Liberal Alliance;Lars-Christian Brask;0
