Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Partiliste;388
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Benny Engelbrecht;389
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Tommi Christensen;1
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Kim Eskesen;1
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Theis Kylling Hommeltoft;3
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Anders Kronborg;6
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Bjørn Laursen;0
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Christian Rabjerg Madsen;7
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Anne Catherine Hoxcer Nielsen;3
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Lars Rømer Olsen;4
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Jesper Petersen;21
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Maria Radoor;2
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Kris Jensen Skriver;1
1. Sønderborg;1. Nordborg;A;Socialdemokratiet;Birgitte Vind;4
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Partiliste;20
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Lasse Skov Ovesen;3
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Lotte Rod;15
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Anne Marie Geisler Andersen;7
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Nils Sjøberg;1
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Ole Lynggaard Jørgensen;0
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Finn Hartvig Nielsen;0
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Bjarne Lastein;0
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Barbara Krarup Hansen;0
1. Sønderborg;1. Nordborg;B;Radikale Venstre;Nicholas Wentworth;1
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Partiliste;65
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Rasmus Elkjær Larsen;14
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Dan Arnløv;0
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Gitte Eriksen;4
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Christina Foldager;5
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Morten Trillingsgaard Høybye;0
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Cecilie C. Johannsen;3
1. Sønderborg;1. Nordborg;C;Det Konservative Folkeparti;Frederik Bloch Münster;4
