Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Struer;1. Lemvig;A;Socialdemokratiet;Partiliste;598
1. Struer;1. Lemvig;A;Socialdemokratiet;Anders Andreasen;95
1. Struer;1. Lemvig;A;Socialdemokratiet;Vinnie Borbjerg;11
1. Struer;1. Lemvig;A;Socialdemokratiet;Lars Fibæk;6
1. Struer;1. Lemvig;A;Socialdemokratiet;Katrine Evelyn Jensen;13
1. Struer;1. Lemvig;A;Socialdemokratiet;Mogens Jensen;48
1. Struer;1. Lemvig;A;Socialdemokratiet;Lise Jørgensen;3
1. Struer;1. Lemvig;A;Socialdemokratiet;Kasper B.G. Lauritsen;11
1. Struer;1. Lemvig;A;Socialdemokratiet;Eva Borchorst Mejnertz;4
1. Struer;1. Lemvig;A;Socialdemokratiet;Anne Paulin;78
1. Struer;1. Lemvig;A;Socialdemokratiet;Peter Kempf Pedersen;0
1. Struer;1. Lemvig;A;Socialdemokratiet;Per Kamp Stefansen;1
1. Struer;1. Lemvig;B;Radikale Venstre;Partiliste;73
1. Struer;1. Lemvig;B;Radikale Venstre;Peter Vestergaard;22
1. Struer;1. Lemvig;B;Radikale Venstre;Johan Brødsgaard;5
1. Struer;1. Lemvig;B;Radikale Venstre;Philip Vivet;11
1. Struer;1. Lemvig;B;Radikale Venstre;Kim Pagels;0
1. Struer;1. Lemvig;B;Radikale Venstre;Casper Hindkjær;1
1. Struer;1. Lemvig;B;Radikale Venstre;Lone Kjær Hein;3
1. Struer;1. Lemvig;B;Radikale Venstre;Hanne Frølund;3
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Partiliste;77
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Simon Højer;4
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Dina Andersen-Raabjerg;24
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Lise Bertelsen;16
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Michael Grove;1
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Marianne Karlsmose;23
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Siff Tang Lassen;3
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Gorm Hoff Lauridsen;1
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Jørgen Christian Pedersen;0
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Lennart Qvist;2
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Lau Sørensen;2
1. Struer;1. Lemvig;C;Det Konservative Folkeparti;Nicklas Verne;0
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Partiliste;149
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Signe Munk;149
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Nils Brøgger;85
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Emma Thorup Jacobsen;2
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Bente Refslund;3
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Anders Bøge;2
1. Struer;1. Lemvig;F;SF - Socialistisk Folkeparti;Niels Kristian Larsen;0
1. Struer;1. Lemvig;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;59
1. Struer;1. Lemvig;H;Borgernes Parti - Lars Boje Mathiesen;Helge K. Frandsen;12
1. Struer;1. Lemvig;H;Borgernes Parti - Lars Boje Mathiesen;Jes Halfdan;5
1. Struer;1. Lemvig;H;Borgernes Parti - Lars Boje Mathiesen;Maria Enemark;3
1. Struer;1. Lemvig;I;Liberal Alliance;Partiliste;198
1. Struer;1. Lemvig;I;Liberal Alliance;Thorbjørn Jacobsen;41
1. Struer;1. Lemvig;I;Liberal Alliance;Carsten Bach;17
1. Struer;1. Lemvig;I;Liberal Alliance;Helle Jensen;4
1. Struer;1. Lemvig;I;Liberal Alliance;Svend Stein Olsen;0
1. Struer;1. Lemvig;I;Liberal Alliance;Steffen Troldtoft;0
1. Struer;1. Lemvig;I;Liberal Alliance;Michael Valbjørn;0
1. Struer;1. Lemvig;I;Liberal Alliance;Ragnar Dixen;0
1. Struer;1. Lemvig;I;Liberal Alliance;Iben Forum Jeppesen;0
1. Struer;1. Lemvig;I;Liberal Alliance;Keld Lorenzen;1
1. Struer;1. Lemvig;I;Liberal Alliance;Annette Sofia Skotte;0
1. Struer;1. Lemvig;I;Liberal Alliance;Kevin Possekel;0
1. Struer;1. Lemvig;M;Moderaterne;Partiliste;97
1. Struer;1. Lemvig;M;Moderaterne;Morten E.G. Brautsch;9
1. Struer;1. Lemvig;M;Moderaterne;Martin Sanderhoff;3
1. Struer;1. Lemvig;M;Moderaterne;Michael Nielsen;1
1. Struer;1. Lemvig;M;Moderaterne;Jeppe von Berg;2
