Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Partiliste;1144
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Nicolai Wammen;544
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Camilla Fabricius;157
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Pia Halkjær;5
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Dorthe Hindborg;6
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Leif Lahn Jensen;24
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Anders Kühnau;71
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Malte Larsen;15
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Thomas Monberg;3
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Louise Stenmann;6
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Erik Særkjær;1
1. Aarhus Syd;1. Frederiksbjerghallerne;A;Socialdemokratiet;Mathias Thybo;6
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Partiliste;911
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Rune Christiansen;27
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Katrine Robsøe;410
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Anne Sophie Callesen;210
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Mathias Sikora;42
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Rikke Christensen;15
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Line Rasmussen;79
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Hanne Roed;21
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Bjarke Jensen;9
1. Aarhus Syd;1. Frederiksbjerghallerne;B;Radikale Venstre;Rabih Azad-Ahmad;11
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Partiliste;478
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Peter Sporleder;53
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Charlotte Green;18
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Michael Faust Horsbøl;0
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Bjørn Jensen;8
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Mona Juul;624
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Anders Krojgaard Lund;14
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Bia Ndamukunda;4
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Viktor Thyregod Sivertsen;8
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Jacob Skjærris;9
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Caroline Svejsø;8
1. Aarhus Syd;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Morten Sørensen;5
1. Aarhus Syd;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Partiliste;1354
1. Aarhus Syd;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Kirsten Normann Andersen;227
1. Aarhus Syd;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Sofie Lippert;210
