Alpha,Noise,Avg Relative Agreement (Top Match)
0.25,0.0,0.9247448275862068
0.25,0.2,0.891951724137931
0.25,0.3,0.8769172413793104
0.25,0.4,0.8603999999999999
0.5,0.0,0.9187471264367816
0.5,0.2,0.8874942528735632
0.5,0.3,0.8734597701149426
0.5,0.4,0.8572643678160918
0.75,0.0,0.916152709359606
0.75,0.2,0.885935960591133
0.75,0.3,0.8727881773399015
0.75,0.4,0.8572266009852217
1.0,0.0,0.9150689655172414
1.0,0.2,0.8857758620689654
1.0,0.3,0.8730517241379311
1.0,0.4,0.8579655172413793
1.5,0.0,0.9158758620689655
1.5,0.2,0.8877655172413794
1.5,0.3,0.8756275862068966
1.5,0.4,0.8614620689655174
2.0,0.0,0.9169195402298851
2.0,0.2,0.8897701149425287
2.0,0.3,0.8780689655172413
2.0,0.4,0.8645747126436781
3.0,0.0,0.9208103448275863
3.0,0.2,0.8948362068965517
3.0,0.3,0.8837586206896552
3.0,0.4,0.8710344827586207
